"0","Alimento","Calorias","Hidratos","Proteinas","Grasas","Fibras"
"127","EXTRACTO CARNE","174","3","38","1","0"
"128","FAISÁN","160","0","24","6","0"
"129","FANECA","74","1","15","1","0"
"130","FILETE VACA","197","0","19","14","0"
"131","FLAN DE HUEVO","132","22","5","2","0"
"132","FOIE- GRAS","462","0","14","46","0"
"133","FRAMBUESAS","25","6","1","0","7"
"134","FRESAS","26","6","1","0","2"
"135","GALLETAS MANTEQUILLA","435","75","8","11","3"
"136","GALLETAS MEDIA","436","74","7","14","5"
"137","GALLETAS SALADAS","448","76","9","12","3"
"138","GALLO","81","0","17","1","0"
"139","GAMBAS COCIDAS","107","0","23","2","0"
"140","GARBANZOS","314","49","20","3","0"
"141","GATORADE","39","10","0","0","0"
"142","GERMEN TRIGO","301","24","27","9","25"
"143","GINEBRA","222","0","0","0","0"
"144","GOFIO MILLO","377","83","6","5","0"
"145","GOFIO TRIGO","371","82","11","2","0"
"146","GRANADA","75","17","1","1","3"
"147","GRELOS","11","0","3","0","4"
"148","GUISANTES ENLATADOS","54","9","4","0","4"
"149","GUISANTES FRESCOS","67","11","6","0","5"
"150","HAMBURGUESA BURGER- KING","290","29","15","13","0"
"151","HAMBURGUESAS VACUNO","265","5","15","20","0"
"152","HARINA AVENA","401","73","12","9","7"
"153","HARINA CENTENO","303","68","7","1","9"
"154","HARINA MAIZ","354","92","0","1","0"
"155","HARINA SOJA","447","24","37","24","12"
"156","HARINA TRIGO INTEGRAL","318","66","13","2","10"
"157","HARINA TRIGO PANIFICADA","337","75","11","1","3"
"158","HELADO","209","21","4","12","0"
"159","HELADO FRUTA","140","29","2","2","0"
"160","HÍGADO CERDO","154","2","21","7","0"
"161","HÍGADO POLLO","135","1","19","6","0"
"162","HÍGADO TERNERA","153","2","20","7","0"
"163","HIGOS SECOS","213","53","4","0","18"
"164","HIGOS VERDES","41","10","1","0","2"
"165","HUEVO","147","1","12","11","0"
"166","HUEVO DURO","153","1","12","11","0"
"167","HUEVO YEMA LIQUIDA","377","0","16","32","0"
"168","JAMÓN COCIDO","352","1","22","29","0"
"169","JAMÓN SERRANO","185","0","31","7","0"
"170","JEREZ SECO","116","1","0","0","0"
"171","JUDÍAS BLANCAS SECAS","271","46","21","2","25"
"172","JUDÍAS-VERDES FRESCAS","7","5","2","0","2"
